Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
0.ANT3b_A1956001	0.ANT3b_A1956001	11	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028726_SRR069162_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028726_SRR069162_2.fastq.gz	NA
0.ANT3c_42082	0.ANT3c_42082	12	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028675_SRR069111_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028675_SRR069111_2.fastq.gz	NA
0.ANT3d_CMCC21106	0.ANT3d_CMCC21106	13	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028720_SRR069156_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028720_SRR069156_2.fastq.gz	NA
0.ANT3e_42091b	0.ANT3e_42091b	14	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028677_SRR069113_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028677_SRR069113_2.fastq.gz	NA
0.PE2b_G8786	0.PE2b_G8786	15	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028762_SRR069198_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028762_SRR069198_2.fastq.gz	NA
0.PE4_M0000002	0.PE4_M0000002	16	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028760_SRR069196_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028760_SRR069196_2.fastq.gz	NA
0.PE4Aa_12	0.PE4Aa_12	17	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028658_SRR069094_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028658_SRR069094_2.fastq.gz	NA
0.PE4Ab_9	0.PE4Ab_9	18	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028693_SRR069129_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028693_SRR069129_2.fastq.gz	NA
0.PE4Ca_CMCCN010025	0.PE4Ca_CMCCN010025	19	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028759_SRR069195_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028759_SRR069195_2.fastq.gz	NA
0.PE4Cc_CMCC18019	0.PE4Cc_CMCC18019	20	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028719_SRR069155_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028719_SRR069155_2.fastq.gz	NA
0.PE4Cd_CMCC93014	0.PE4Cd_CMCC93014	21	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028751_SRR069187_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028751_SRR069187_2.fastq.gz	NA
0.PE4Ce_CMCC91090	0.PE4Ce_CMCC91090	22	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028748_SRR069184_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028748_SRR069184_2.fastq.gz	NA
0.PE7b_620024	0.PE7b_620024	23	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028681_SRR069117_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028681_SRR069117_2.fastq.gz	NA
1.IN1a_CMCC11001	1.IN1a_CMCC11001	24	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028706_SRR069142_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028706_SRR069142_2.fastq.gz	NA
1.IN1b_780441	1.IN1b_780441	25	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028690_SRR069126_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028690_SRR069126_2.fastq.gz	NA
1.IN1c_K21985002	1.IN1c_K21985002	26	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028729_SRR069165_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028729_SRR069165_2.fastq.gz	NA
1.IN2a_CMCC640047	1.IN2a_CMCC640047	27	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028735_SRR069171_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028735_SRR069171_2.fastq.gz	NA
1.IN2b_30017	1.IN2b_30017	28	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028666_SRR069102_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028666_SRR069102_2.fastq.gz	NA
1.IN2c_CMCC31004	1.IN2c_CMCC31004	29	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028722_SRR069158_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028722_SRR069158_2.fastq.gz	NA
1.IN2d_C1975003	1.IN2d_C1975003	30	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028717_SRR069153_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028717_SRR069153_2.fastq.gz	NA
1.IN2e_C1989001	1.IN2e_C1989001	31	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028692_SRR069128_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028692_SRR069128_2.fastq.gz	NA
1.IN2f_710317	1.IN2f_710317	32	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028685_SRR069121_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028685_SRR069121_2.fastq.gz	NA
1.IN2g_CMCC05013	1.IN2g_CMCC05013	33	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028701_SRR069137_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028701_SRR069137_2.fastq.gz	NA
1.IN2h_5	1.IN2h_5	34	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028680_SRR069116_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028680_SRR069116_2.fastq.gz	NA
1.IN2i_CMCC10012	1.IN2i_CMCC10012	35	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028702_SRR069138_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028702_SRR069138_2.fastq.gz	NA
1.IN2j_CMCC27002	1.IN2j_CMCC27002	36	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028721_SRR069157_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028721_SRR069157_2.fastq.gz	NA
1.IN2k_970754	1.IN2k_970754	37	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028697_SRR069133_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028697_SRR069133_2.fastq.gz	NA
1.IN2l_D1991004	1.IN2l_D1991004	38	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028695_SRR069131_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028695_SRR069131_2.fastq.gz	NA
1.IN2m_D1964002b	1.IN2m_D1964002b	39	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028712_SRR069148_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028712_SRR069148_2.fastq.gz	NA
1.IN2n_CMCC02041	1.IN2n_CMCC02041	40	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028698_SRR069134_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028698_SRR069134_2.fastq.gz	NA
1.IN2o_CMCC03001	1.IN2o_CMCC03001	41	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028699_SRR069135_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028699_SRR069135_2.fastq.gz	NA
1.IN2p_D1982001	1.IN2p_D1982001	42	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028687_SRR069123_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028687_SRR069123_2.fastq.gz	NA
1.IN2q_D1964001	1.IN2q_D1964001	43	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028682_SRR069118_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028682_SRR069118_2.fastq.gz	NA
1.IN3a_F1954001	1.IN3a_F1954001	44	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028691_SRR069127_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028691_SRR069127_2.fastq.gz	NA
1.IN3b_E1979001	1.IN3b_E1979001	45	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028780_SRR069216_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028780_SRR069216_2.fastq.gz	NA
1.IN3c_CMCC84038b	1.IN3c_CMCC84038b	46	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028744_SRR069180_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028744_SRR069180_2.fastq.gz	NA
1.IN3d_YN1683	1.IN3d_YN1683	47	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028773_SRR069209_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028773_SRR069209_2.fastq.gz	NA
