Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
2.ANT2e_G1996010	2.ANT2e_G1996010	70	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028671_SRR069107_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028671_SRR069107_2.fastq.gz	NA
2.ANT2f_CMCC348002	2.ANT2f_CMCC348002	71	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028724_SRR069160_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028724_SRR069160_2.fastq.gz	NA
2.ANT3a_CMCC92010	2.ANT3a_CMCC92010	72	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028750_SRR069186_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028750_SRR069186_2.fastq.gz	NA
2.ANT3b_CMCC95001	2.ANT3b_CMCC95001	73	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028752_SRR069188_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028752_SRR069188_2.fastq.gz	NA
2.ANT3c_CMCC96001	2.ANT3c_CMCC96001	74	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028753_SRR069189_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028753_SRR069189_2.fastq.gz	NA
2.ANT3d_CMCC96007	2.ANT3d_CMCC96007	75	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028754_SRR069190_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028754_SRR069190_2.fastq.gz	NA
2.ANT3e_CMCC67001	2.ANT3e_CMCC67001	76	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028736_SRR069172_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028736_SRR069172_2.fastq.gz	NA
2.ANT3f_CMCC104003	2.ANT3f_CMCC104003	77	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028703_SRR069139_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028703_SRR069139_2.fastq.gz	NA
2.ANT3g_CMCC51020	2.ANT3g_CMCC51020	78	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028732_SRR069168_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028732_SRR069168_2.fastq.gz	NA
2.ANT3h_CMCC106002	2.ANT3h_CMCC106002	79	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028704_SRR069140_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028704_SRR069140_2.fastq.gz	NA
