sample_name	isolation_period	species	data_repo	accession	publication_reference
2.ANT2f_CMCC348002	Modern	Y. pestis	SRA	SRR069160	Cui et al. (2013)
2.ANT3a_CMCC92010	Modern	Y. pestis	SRA	SRR069186	Cui et al. (2013)
2.ANT3b_CMCC95001	Modern	Y. pestis	SRA	SRR069188	Cui et al. (2013)
2.ANT3c_CMCC96001	Modern	Y. pestis	SRA	SRR069189	Cui et al. (2013)
2.ANT3d_CMCC96007	Modern	Y. pestis	SRA	SRR069190	Cui et al. (2013)
2.ANT3e_CMCC67001	Modern	Y. pestis	SRA	SRR069172	Cui et al. (2013)
2.ANT3f_CMCC104003	Modern	Y. pestis	SRA	SRR069139	Cui et al. (2013)
2.ANT3g_CMCC51020	Modern	Y. pestis	SRA	SRR069168	Cui et al. (2013)
2.ANT3h_CMCC106002	Modern	Y. pestis	SRA	SRR069140	Cui et al. (2013)
2.ANT3i_CMCC64001	Modern	Y. pestis	SRA	SRR069170	Cui et al. (2013)
2.ANT3j_H1959004	Modern	Y. pestis	SRA	SRR069115	Cui et al. (2013)
2.ANT3k_5761	Modern	Y. pestis	SRA	SRR069095	Cui et al. (2013)
2.ANT3l_735	Modern	Y. pestis	SRA	SRR069103	Cui et al. (2013)
2.MED1b_2506	Modern	Y. pestis	SRA	SRR069100	Cui et al. (2013)
2.MED1c_2654	Modern	Y. pestis	SRA	SRR069101	Cui et al. (2013)
2.MED1d_2504	Modern	Y. pestis	SRA	SRR069099	Cui et al. (2013)
2.MED2b_91	Modern	Y. pestis	SRA	SRR069130	Cui et al. (2013)
2.MED2c_K11973002	Modern	Y. pestis	SRA	SRR069166	Cui et al. (2013)
2.MED2d_A1973001	Modern	Y. pestis	SRA	SRR069109	Cui et al. (2013)
2.MED2e_7338	Modern	Y. pestis	SRA	SRR069122	Cui et al. (2013)
2.MED3a_J1963002	Modern	Y. pestis	SRA	SRR069174	Cui et al. (2013)
2.MED3b_CMCC125002b	Modern	Y. pestis	SRA	SRR069151	Cui et al. (2013)
2.MED3c_I1969003	Modern	Y. pestis	SRA	SRR069152	Cui et al. (2013)
2.MED3d_J1978002	Modern	Y. pestis	SRA	SRR069149	Cui et al. (2013)
2.MED3f_I1970005	Modern	Y. pestis	SRA	SRR069191	Cui et al. (2013)
2.MED3g_CMCC99103	Modern	Y. pestis	SRA	SRR069192	Cui et al. (2013)
2.MED3h_CMCC90027	Modern	Y. pestis	SRA	SRR069183	Cui et al. (2013)
2.MED3i_CMCC92004	Modern	Y. pestis	SRA	SRR069185	Cui et al. (2013)
2.MED3j_I2001001	Modern	Y. pestis	SRA	SRR069154	Cui et al. (2013)
2.MED3k_CMCC12003	Modern	Y. pestis	SRA	SRR069145	Cui et al. (2013)
2.MED3l_I1994006	Modern	Y. pestis	SRA	SRR069146	Cui et al. (2013)
2.MED3m_SHAN11	Modern	Y. pestis	SRA	SRR069206	Cui et al. (2013)
2.MED3n_SHAN12	Modern	Y. pestis	SRA	SRR069207	Cui et al. (2013)
2.MED3o_I1991001	Modern	Y. pestis	SRA	SRR069093	Cui et al. (2013)
2.MED3p_CMCC107004	Modern	Y. pestis	SRA	SRR069141	Cui et al. (2013)
3.ANT1a_7b	Modern	Y. pestis	SRA	SRR069125	Cui et al. (2013)
