African swine fever virus
Aspergillus fumigatus
Bacillus anthracis
Bacillus cereus group
Bartonella bacilliformis
Bartonella henselae
Bartonella quintana
BK virus strain AS
BK virus strain GS
BK virus variant RF
Blastomyces dermatitidis
Bordetella
Bordetella pertussis
Bordetella petrii
Borrelia
Borreliaceae
Borrelia recurrentis
Borreliella afzelii
Borreliella burgdorferi
Borreliella garinii
Brucella
Brucella abortus
Brucellaceae
Brucella melitensis
Brucella microti
Brucella ovis
Brucella suis
Burkholderia cepacia
Burkholderia mallei
Burkholderia pseudomallei
Chlamydia abortus
Chlamydia caviae
Chlamydia felis
Chlamydia muridarum
Chlamydia pecorum
Chlamydia pneumoniae
Chlamydia psittaci
Chlamydia trachomatis
Clostridium
Clostridium botulinum
Clostridium botulinum BKT015925
Clostridium botulinum E3 str. Alaska E43
Clostridium sporogenes
Clostridium tetani
Clostridium tetani E88
Coccidioides immitis
Coccidioides posadasii
Corynebacterium diphtheriae
Cowpox-Vaccinia virus
Cowpox virus
Coxiella burnetii
Cryptococcus gattii species complex
Cryptococcus neoformans
Cynomolgus Epstein-Barr Virus A4
Cynomolgus Epstein-Barr Virus Si-IIA
Cynomolgus Epstein-Barr Virus TsB-B6
Enterobius vermicularis
Epstein-barr virus strain ag876
Epstein-barr virus strain p3hr-1
Escherichia coli
Escherichia coli O111
Escherichia coli O157:H7
Escherichia coli O26
Francisella tularensis
Fusobacterium
Fusobacterium nucleatum
Haemophilus influenzae
Haemophilus influenzae Rd KW20
Helicobacter pylori
Hepatitis B virus
Hepatitis delta virus
Hepatitis E virus
Herpes simplex virus unknown type
Histoplasma capsulatum
Human adenovirus 1
Human adenovirus 1
Human adenovirus 11
Human adenovirus 11
Human adenovirus 11+34
Human adenovirus 11a
Human adenovirus 11a
Human adenovirus 11p
Human adenovirus 11p
Human adenovirus 12
Human adenovirus 12
Human adenovirus 14
Human adenovirus 14
Human adenovirus 14a
Human adenovirus 14a
Human adenovirus 14p
Human adenovirus 14p
Human adenovirus 14p1
Human adenovirus 14p1
Human adenovirus 15
Human adenovirus 15
Human adenovirus 15/H9
Human adenovirus 15/H9
Human adenovirus 16
Human adenovirus 16
Human adenovirus 16p
Human adenovirus 16p
Human adenovirus 17
Human adenovirus 17
Human adenovirus 18
Human adenovirus 18
Human adenovirus 19
Human adenovirus 19
Human adenovirus 19a
Human adenovirus 19a
Human adenovirus 19C
Human adenovirus 19C
Human adenovirus 19p
Human adenovirus 19p
Human adenovirus 1 strain Adenoid 71
Human adenovirus 2
Human adenovirus 2
Human adenovirus 20
Human adenovirus 20
Human adenovirus 21
Human adenovirus 21
Human adenovirus 21a
Human adenovirus 21a
Human adenovirus 22
Human adenovirus 22
Human adenovirus 22H8
Human adenovirus 22H8
Human adenovirus 23
Human adenovirus 23
Human adenovirus 24
Human adenovirus 24
Human adenovirus 25
Human adenovirus 25
Human adenovirus 26
Human adenovirus 26
Human adenovirus 27
Human adenovirus 27
Human adenovirus 28
Human adenovirus 28
Human adenovirus 29
Human adenovirus 29
Human adenovirus 30
Human adenovirus 30
Human adenovirus 31
Human adenovirus 31
Human adenovirus 3+11p
Human adenovirus 32
Human adenovirus 32
Human adenovirus 33
Human adenovirus 33
Human adenovirus 34
Human adenovirus 34
Human adenovirus 34a
Human adenovirus 34a
Human adenovirus 35
Human adenovirus 35
Human adenovirus 35+11
Human adenovirus 36
Human adenovirus 36
Human adenovirus 3+7
Human adenovirus 38
